county,precinct,office,district,candidate,party,total
Jasper,Antioch,Governor,,Phil  Bryant,Republican,206
Jasper,Antioch,Governor,,Robert  Gray,Democrat,22
Jasper,Antioch,Governor,,Shawn  O'Hara,Reform,2
Jasper,Antioch,Lieutenant Governor,,Tim  Johnson,Democrat,28
Jasper,Antioch,Lieutenant Governor,,Tate  Reeves,Republican,195
Jasper,Antioch,Lieutenant Governor,,Ron  Williams,Libertarian,1
Jasper,Antioch,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Jasper,Antioch,Secretary of State,,Charles  E.  Graham,Democrat,25
Jasper,Antioch,Secretary of State,,Delbert  Hosemann,Republican,194
Jasper,Antioch,Secretary of State,,Randy  Walker,Reform,6
Jasper,Antioch,Attorney General,,Jim  Hood,Democrat,85
Jasper,Antioch,Attorney General,,Mike  Hurst,Republican,143
Jasper,Antioch,State Auditor,,Stacey  E.  Pickering,Republican,202
Jasper,Antioch,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,19
Jasper,Antioch,State Auditor,,Lajena  Walley,Reform,4
Jasper,Bay Springs Beat 3,Governor,,Phil  Bryant,Republican,365
Jasper,Bay Springs Beat 3,Governor,,Robert  Gray,Democrat,266
Jasper,Bay Springs Beat 3,Governor,,Shawn  O'Hara,Reform,10
Jasper,Bay Springs Beat 3,Lieutenant Governor,,Tim  Johnson,Democrat,297
Jasper,Bay Springs Beat 3,Lieutenant Governor,,Tate  Reeves,Republican,323
Jasper,Bay Springs Beat 3,Lieutenant Governor,,Ron  Williams,Libertarian,8
Jasper,Bay Springs Beat 3,Lieutenant Governor,,Rosa  B.  Williams,Reform,8
Jasper,Bay Springs Beat 3,Secretary of State,,Charles  E.  Graham,Democrat,282
Jasper,Bay Springs Beat 3,Secretary of State,,Delbert  Hosemann,Republican,333
Jasper,Bay Springs Beat 3,Secretary of State,,Randy  Walker,Reform,20
Jasper,Bay Springs Beat 3,Attorney General,,Jim  Hood,Democrat,425
Jasper,Bay Springs Beat 3,Attorney General,,Mike  Hurst,Republican,212
Jasper,Bay Springs Beat 3,State Auditor,,Stacey  E.  Pickering,Republican,352
Jasper,Bay Springs Beat 3,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,280
Jasper,Bay Springs Beat 3,State Auditor,,Lajena  Walley,Reform,6
Jasper,Bay Springs Beat 4,Governor,,Phil  Bryant,Republican,324
Jasper,Bay Springs Beat 4,Governor,,Robert  Gray,Democrat,224
Jasper,Bay Springs Beat 4,Governor,,Shawn  O'Hara,Reform,10
Jasper,Bay Springs Beat 4,Lieutenant Governor,,Tim  Johnson,Democrat,239
Jasper,Bay Springs Beat 4,Lieutenant Governor,,Tate  Reeves,Republican,296
Jasper,Bay Springs Beat 4,Lieutenant Governor,,Ron  Williams,Libertarian,16
Jasper,Bay Springs Beat 4,Lieutenant Governor,,Rosa  B.  Williams,Reform,6
Jasper,Bay Springs Beat 4,Secretary of State,,Charles  E.  Graham,Democrat,254
Jasper,Bay Springs Beat 4,Secretary of State,,Delbert  Hosemann,Republican,287
Jasper,Bay Springs Beat 4,Secretary of State,,Randy  Walker,Reform,25
Jasper,Bay Springs Beat 4,Attorney General,,Jim  Hood,Democrat,361
Jasper,Bay Springs Beat 4,Attorney General,,Mike  Hurst,Republican,201
Jasper,Bay Springs Beat 4,State Auditor,,Stacey  E.  Pickering,Republican,321
