county,precinct,office,district,candidate,party,total
Montgomery,Duck Hill,Governor,,Phil  Bryant,Republican,256
Montgomery,Duck Hill,Governor,,Robert  Gray,Democrat,84
Montgomery,Duck Hill,Governor,,Shawn  O'Hara,Reform,2
Montgomery,Duck Hill,Lieutenant Governor,,Tim  Johnson,Democrat,112
Montgomery,Duck Hill,Lieutenant Governor,,Tate  Reeves,Republican,218
Montgomery,Duck Hill,Lieutenant Governor,,Ron  Williams,Libertarian,7
Montgomery,Duck Hill,Lieutenant Governor,,Rosa  B.  Williams,Reform,2
Montgomery,Duck Hill,Secretary of State,,Charles  E.  Graham,Democrat,118
Montgomery,Duck Hill,Secretary of State,,Delbert  Hosemann,Republican,202
Montgomery,Duck Hill,Secretary of State,,Randy  Walker,Reform,11
Montgomery,Duck Hill,Attorney General,,Jim  Hood,Democrat,180
Montgomery,Duck Hill,Attorney General,,Mike  Hurst,Republican,155
Montgomery,Duck Hill,State Auditor,,Stacey  E.  Pickering,Republican,218
Montgomery,Duck Hill,State Auditor,,Jocelyn Pepper Pritchett,Democrat,107
Montgomery,Duck Hill,State Auditor,,Lajena  Walley,Reform,6
Montgomery,Duck Hill,State Treasurer,,Lynn Fitch,Republican,239
Montgomery,Duck Hill,State Treasurer,,Viola McFarland,Reform,52
Montgomery,Duck Hill,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,107
Montgomery,Duck Hill,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,208
Montgomery,Duck Hill,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,14
Montgomery,Duck Hill,Commissioner of Insurance,,Mike Chaney,Republican,265
Montgomery,Duck Hill,State Senate,14,Lydia Graves Chassaniol,Republican,129
Montgomery,Duck Hill,State Senate,14,Georgio Proctor,Democrat,94
Montgomery,Duck Hill,State Senate,14,Donny Ryals,Independent,114
Montgomery,Duck Hill,State House,46,Karl Oliver,Republican,199
Montgomery,Duck Hill,State House,46,Ken Strachan,Democrat,144
Montgomery,East Winona,Governor,,Phil  Bryant,Republican,178
Montgomery,East Winona,Governor,,Robert  Gray,Democrat,218
Montgomery,East Winona,Governor,,Shawn  O'Hara,Reform,5
Montgomery,East Winona,Lieutenant Governor,,Tim  Johnson,Democrat,215
Montgomery,East Winona,Lieutenant Governor,,Tate  Reeves,Republican,163
Montgomery,East Winona,Lieutenant Governor,,Ron  Williams,Libertarian,11
Montgomery,East Winona,Lieutenant Governor,,Rosa  B.  Williams,Reform,8
Montgomery,East Winona,Secretary of State,,Charles  E.  Graham,Democrat,226
Montgomery,East Winona,Secretary of State,,Delbert  Hosemann,Republican,150
Montgomery,East Winona,Secretary of State,,Randy  Walker,Reform,16
Montgomery,East Winona,Attorney General,,Jim  Hood,Democrat,281
Montgomery,East Winona,Attorney General,,Mike  Hurst,Republican,111
Montgomery,East Winona,State Auditor,,Stacey  E.  Pickering,Republican,165
Montgomery,East Winona,State Auditor,,Jocelyn Pepper Pritchett,Democrat,218
Montgomery,East Winona,State Auditor,,Lajena  Walley,Reform,7
Montgomery,East Winona,State Treasurer,,Lynn Fitch,Republican,208
Montgomery,East Winona,State Treasurer,,Viola McFarland,Reform,116
Montgomery,East Winona,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,222
Montgomery,East Winona,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,166
Montgomery,East Winona,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,7
Montgomery,East Winona,Commissioner of Insurance,,Mike Chaney,Republican,271
Montgomery,East Winona,State Senate,15,Gary Johnson,Republican,146
Montgomery,East Winona,State Senate,15,Cecil Simmons,Democrat,242
Montgomery,East Winona,State House,46,Karl Oliver,Republican,167
Montgomery,East Winona,State House,46,Ken Strachan,Democrat,231
Montgomery,Kilmichael,Governor,,Phil  Bryant,Republican,249
Montgomery,Kilmichael,Governor,,Robert  Gray,Democrat,163
Montgomery,Kilmichael,Governor,,Shawn  O'Hara,Reform,2
Montgomery,Kilmichael,Lieutenant Governor,,Tim  Johnson,Democrat,180
Montgomery,Kilmichael,Lieutenant Governor,,Tate  Reeves,Republican,216
Montgomery,Kilmichael,Lieutenant Governor,,Ron  Williams,Libertarian,11
Montgomery,Kilmichael,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Montgomery,Kilmichael,Secretary of State,,Charles  E.  Graham,Democrat,183
Montgomery,Kilmichael,Secretary of State,,Delbert  Hosemann,Republican,213
Montgomery,Kilmichael,Secretary of State,,Randy  Walker,Reform,11
Montgomery,Kilmichael,Attorney General,,Jim  Hood,Democrat,267
Montgomery,Kilmichael,Attorney General,,Mike  Hurst,Republican,143
Montgomery,Kilmichael,State Auditor,,Stacey  E.  Pickering,Republican,222
Montgomery,Kilmichael,State Auditor,,Jocelyn Pepper Pritchett,Democrat,175
Montgomery,Kilmichael,State Auditor,,Lajena  Walley,Reform,3
Montgomery,Kilmichael,State Treasurer,,Lynn Fitch,Republican,260
Montgomery,Kilmichael,State Treasurer,,Viola McFarland,Reform,78
Montgomery,Kilmichael,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,180
Montgomery,Kilmichael,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,208
Montgomery,Kilmichael,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,6
Montgomery,Kilmichael,Commissioner of Insurance,,Mike Chaney,Republican,302
Montgomery,Kilmichael,State Senate,15,Gary Johnson,Republican,201
Montgomery,Kilmichael,State Senate,15,Cecil Simmons,Democrat,205
