county,precinct,office,district,candidate,party,total
Wilkinson,Centreville 1st 1020,Governor,,Phil Bryant,Republican,113
Wilkinson,Centreville 1st 1020,Governor,,Robert Gray,Democrat,308
Wilkinson,Centreville 1st 1020,Governor,,Shawn O'Hara,Reform,14
Wilkinson,Centreville 1st 1020,Lieutenant Governor,,Tim Johnson,Democrat,318
Wilkinson,Centreville 1st 1020,Lieutenant Governor,,Tate Reeves,Republican,75
Wilkinson,Centreville 1st 1020,Lieutenant Governor,,Ron Williams,Libertarian,22
Wilkinson,Centreville 1st 1020,Lieutenant Governor,,Rosa B. Williams,Reform,17
Wilkinson,Centreville 1st 1020,Secretary of State,,Charles E. Graham,Democrat,328
Wilkinson,Centreville 1st 1020,Secretary of State,,Delbert Hosemann,Republican,76
Wilkinson,Centreville 1st 1020,Secretary of State,,Randy Walker,Reform,24
Wilkinson,Centreville 1st 1020,Attorney General,,Jim Hood,Democrat,343
Wilkinson,Centreville 1st 1020,Attorney General,,Mike Hurst,Republican,86
Wilkinson,Centreville 1st 1020,State Auditor,,Stacey E. Pickering,Republican,94
Wilkinson,Centreville 1st 1020,State Auditor,,Jocelyn 'Joce' Pepper Pritchett,Democrat,312
Wilkinson,Centreville 1st 1020,State Auditor,,Lajena Walley,Reform,19
Wilkinson,Centreville 3rd 3010,Governor,,Phil Bryant,Republican,237
Wilkinson,Centreville 3rd 3010,Governor,,Robert Gray,Democrat,324
Wilkinson,Centreville 3rd 3010,Governor,,Shawn O'Hara,Reform,16
Wilkinson,Centreville 3rd 3010,Lieutenant Governor,,Tim Johnson,Democrat,340
Wilkinson,Centreville 3rd 3010,Lieutenant Governor,,Tate Reeves,Republican,193
Wilkinson,Centreville 3rd 3010,Lieutenant Governor,,Ron Williams,Libertarian,18
Wilkinson,Centreville 3rd 3010,Lieutenant Governor,,Rosa B. Williams,Reform,19
Wilkinson,Centreville 3rd 3010,Secretary of State,,Charles E. Graham,Democrat,342
Wilkinson,Centreville 3rd 3010,Secretary of State,,Delbert Hosemann,Republican,189
Wilkinson,Centreville 3rd 3010,Secretary of State,,Randy Walker,Reform,41
Wilkinson,Centreville 3rd 3010,Attorney General,,Jim Hood,Democrat,391
Wilkinson,Centreville 3rd 3010,Attorney General,,Mike Hurst,Republican,176
Wilkinson,Centreville 3rd 3010,State Auditor,,Stacey E. Pickering,Republican,196
Wilkinson,Centreville 3rd 3010,State Auditor,,Jocelyn 'Joce' Pepper Pritchett,Democrat,349
Wilkinson,Centreville 3rd 3010,State Auditor,,Lajena Walley,Reform,23
Wilkinson,Cold Springs 4020,Governor,,Phil Bryant,Republican,73
Wilkinson,Cold Springs 4020,Governor,,Robert Gray,Democrat,68
Wilkinson,Cold Springs 4020,Governor,,Shawn O'Hara,Reform,1
Wilkinson,Cold Springs 4020,Lieutenant Governor,,Tim Johnson,Democrat,78
Wilkinson,Cold Springs 4020,Lieutenant Governor,,Tate Reeves,Republican,59
Wilkinson,Cold Springs 4020,Lieutenant Governor,,Ron Williams,Libertarian,3
Wilkinson,Cold Springs 4020,Lieutenant Governor,,Rosa B. Williams,Reform,1
Wilkinson,Cold Springs 4020,Secretary of State,,Charles E. Graham,Democrat,74
Wilkinson,Cold Springs 4020,Secretary of State,,Delbert Hosemann,Republican,60
Wilkinson,Cold Springs 4020,Secretary of State,,Randy Walker,Reform,7
Wilkinson,Cold Springs 4020,Attorney General,,Jim Hood,Democrat,89
Wilkinson,Cold Springs 4020,Attorney General,,Mike Hurst,Republican,50
Wilkinson,Cold Springs 4020,State Auditor,,Stacey E. Pickering,Republican,65
Wilkinson,Cold Springs 4020,State Auditor,,Jocelyn 'Joce' Pepper Pritchett,Democrat,73
Wilkinson,Cold Springs 4020,State Auditor,,Lajena Walley,Reform,2
Wilkinson,Fort Adams 2020,Governor,,Phil Bryant,Republican,107
Wilkinson,Fort Adams 2020,Governor,,Robert Gray,Democrat,260
Wilkinson,Fort Adams 2020,Governor,,Shawn O'Hara,Reform,11
Wilkinson,Fort Adams 2020,Lieutenant Governor,,Tim Johnson,Democrat,272
Wilkinson,Fort Adams 2020,Lieutenant Governor,,Tate Reeves,Republican,84
