county,precinct,office,district,party,candidate,votes,polls,abs,prov
Rankin,109 W Pearl,Voters,,,BALLOTS CAST ,447,435,5,7
Rankin,109 W Pearl H59,Governor,,REP,Phil Bryant ,31,30,0,1
Rankin,109 W Pearl H59,Governor,,DEM,Robert Gray ,60,60,0,0
Rankin,109 W Pearl H59,Governor,,REF,Shawn O'Hara ,1,1,0,0
Rankin,109 W Pearl H59,Governor,,,Write-in,0,0,0,0
Rankin,109 W Pearl H61,Governor,,REP,Phil Bryant ,100,98,0,2
Rankin,109 W Pearl H61,Governor,,DEM,Robert Gray ,15,14,1,0
Rankin,109 W Pearl H61,Governor,,REF,Shawn O'Hara ,0,0,0,0
Rankin,109 W Pearl H61,Governor,,,Write-in,0,0,0,0
Rankin,109 W Pearl H68,Governor,,REP,Phil Bryant ,167,163,3,1
Rankin,109 W Pearl H68,Governor,,DEM,Robert Gray ,61,57,1,3
Rankin,109 W Pearl H68,Governor,,REF,Shawn O'Hara ,5,5,0,0
Rankin,109 W Pearl H68,Governor,,,Write-in,2,2,0,0
Rankin,109 W Pearl H59,Lieutenant Governor,,DEM,Tim Johnson ,56,56,0,0
Rankin,109 W Pearl H59,Lieutenant Governor,,REP,Tate Reeves ,35,34,0,1
Rankin,109 W Pearl H59,Lieutenant Governor,,LIB,Ron Williams ,0,0,0,0
Rankin,109 W Pearl H59,Lieutenant Governor,,REF,Rosa B. Williams ,1,1,0,0
Rankin,109 W Pearl H59,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,109 W Pearl H61,Lieutenant Governor,,DEM,Tim Johnson ,21,20,1,0
Rankin,109 W Pearl H61,Lieutenant Governor,,REP,Tate Reeves ,93,91,0,2
Rankin,109 W Pearl H61,Lieutenant Governor,,LIB,Ron Williams ,1,1,0,0
Rankin,109 W Pearl H61,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,109 W Pearl H61,Lieutenant Governor,,,Write-in,0,0,0,0
