county,precinct,office,district,party,candidate,vote,winner
Simpson,Bowie,Governor,,Republican,Phill Bryant,139,1
Simpson,Bowie,Governor,,Democrat,Rober Gray,79,
Simpson,Bowie,Governor,,Reform,Shawn O'Hara,2,
Simpson,Bowie,Governor,,Democrat,Time Johnson,74,
Simpson,Bowie,Governor,,Republican,Tate Reeves,137,
Simpson,Braxton,Governor,,Republican,Phill Bryant,460,1
Simpson,Braxton,Governor,,Democrat,Rober Gray,19,
Simpson,Braxton,Governor,,Reform,Shawn O'Hara,0,
Simpson,Braxton,Governor,,Democrat,Time Johnson,32,
Simpson,Braxton,Governor,,Republican,Tate Reeves,431,
Simpson,Brldgeport,Governor,,Republican,Phill Bryant,105,
Simpson,Brldgeport,Governor,,Democrat,Rober Gray,128,
Simpson,Brldgeport,Governor,,Reform,Shawn O'Hara,2,
Simpson,Brldgeport,Governor,,Democrat,Time Johnson,136,1
Simpson,Brldgeport,Governor,,Republican,Tate Reeves,90,
Simpson,D'Lo,Governor,,Republican,Phill Bryant,191,1
Simpson,D'Lo,Governor,,Democrat,Rober Gray,16,
Simpson,D'Lo,Governor,,Reform,Shawn O'Hara,1,
Simpson,D'Lo,Governor,,Democrat,Time Johnson,17,
Simpson,D'Lo,Governor,,Republican,Tate Reeves,187,
Simpson,Dry Creek,Governor,,Republican,Phill Bryant,399,1
Simpson,Dry Creek,Governor,,Democrat,Rober Gray,35,
Simpson,Dry Creek,Governor,,Reform,Shawn O'Hara,4,
Simpson,Dry Creek,Governor,,Democrat,Time Johnson,51,
Simpson,Dry Creek,Governor,,Republican,Tate Reeves,374,
Simpson,Fork Church,Governor,,Republican,Phill Bryant,89,
Simpson,Fork Church,Governor,,Democrat,Rober Gray,124,
Simpson,Fork Church,Governor,,Reform,Shawn O'Hara,5,
Simpson,Fork Church,Governor,,Democrat,Time Johnson,128,1
Simpson,Fork Church,Governor,,Republican,Tate Reeves,81,
Simpson,Harrisville,Governor,,Republican,Phill Bryant,379,1
Simpson,Harrisville,Governor,,Democrat,Rober Gray,58,
Simpson,Harrisville,Governor,,Reform,Shawn O'Hara,6,
Simpson,Harrisville,Governor,,Democrat,Time Johnson,65,
Simpson,Harrisville,Governor,,Republican,Tate Reeves,364,
Simpson,Jupiter,Governor,,Republican,Phill Bryant,138,
Simpson,Jupiter,Governor,,Democrat,Rober Gray,243,
Simpson,Jupiter,Governor,,Reform,Shawn O'Hara,1,
Simpson,Jupiter,Governor,,Democrat,Time Johnson,246,1
Simpson,Jupiter,Governor,,Republican,Tate Reeves,115,
Simpson,Magee 1,Governor,,Republican,Phill Bryant,87,
Simpson,Magee 1,Governor,,Democrat,Rober Gray,242,
Simpson,Magee 1,Governor,,Reform,Shawn O'Hara,7,
Simpson,Magee 1,Governor,,Democrat,Time Johnson,258,1
Simpson,Magee 1,Governor,,Republican,Tate Reeves,66,
Simpson,Magee 2,Governor,,Republican,Phill Bryant,582,1
Simpson,Magee 2,Governor,,Democrat,Rober Gray,98,
Simpson,Magee 2,Governor,,Reform,Shawn O'Hara,7,
Simpson,Magee 2,Governor,,Democrat,Time Johnson,113,
Simpson,Magee 2,Governor,,Republican,Tate Reeves,556,
Simpson,Magee 4 North,Governor,,Republican,Phill Bryant,273,1
Simpson,Magee 4 North,Governor,,Democrat,Rober Gray,23,
Simpson,Magee 4 North,Governor,,Reform,Shawn O'Hara,4,
Simpson,Magee 4 North,Governor,,Democrat,Time Johnson,30,
Simpson,Magee 4 North,Governor,,Republican,Tate Reeves,260,
Simpson,Magee 4 South,Governor,,Republican,Phill Bryant,452,1
Simpson,Magee 4 South,Governor,,Democrat,Rober Gray,89,
Simpson,Magee 4 South,Governor,,Reform,Shawn O'Hara,10,
Simpson,Magee 4 South,Governor,,Democrat,Time Johnson,110,
Simpson,Magee 4 South,Governor,,Republican,Tate Reeves,428,
Simpson,Mendenhall 1,Governor,,Republican,Phill Bryant,70,
Simpson,Mendenhall 1,Governor,,Democrat,Rober Gray,109,1
Simpson,Mendenhall 1,Governor,,Reform,Shawn O'Hara,4,
Simpson,Mendenhall 1,Governor,,Democrat,Time Johnson,101,
Simpson,Mendenhall 1,Governor,,Republican,Tate Reeves,66,
Simpson,Mendenhall 3,Governor,,Republican,Phill Bryant,521,1
Simpson,Mendenhall 3,Governor,,Democrat,Rober Gray,66,
Simpson,Mendenhall 3,Governor,,Reform,Shawn O'Hara,8,
Simpson,Mendenhall 3,Governor,,Democrat,Time Johnson,83,
Simpson,Mendenhall 3,Governor,,Republican,Tate Reeves,490,
Simpson,Merit,Governor,,Republican,Phill Bryant,398,1
Simpson,Merit,Governor,,Democrat,Rober Gray,27,
Simpson,Merit,Governor,,Reform,Shawn O'Hara,1,
Simpson,Merit,Governor,,Democrat,Time Johnson,40,
Simpson,Merit,Governor,,Republican,Tate Reeves,372,
Simpson,New Hope,Governor,,Republican,Phill Bryant,94,1
Simpson,New Hope,Governor,,Democrat,Rober Gray,49,
Simpson,New Hope,Governor,,Reform,Shawn O'Hara,2,
Simpson,New Hope,Governor,,Democrat,Time Johnson,53,
Simpson,New Hope,Governor,,Republican,Tate Reeves,89,
Simpson,Oak Grove,Governor,,Republican,Phill Bryant,241,1
Simpson,Oak Grove,Governor,,Democrat,Rober Gray,142,
Simpson,Oak Grove,Governor,,Reform,Shawn O'Hara,4,
Simpson,Oak Grove,Governor,,Democrat,Time Johnson,142,
Simpson,Oak Grove,Governor,,Republican,Tate Reeves,223,
Simpson,Pearl,Governor,,Republican,Phill Bryant,246,1
Simpson,Pearl,Governor,,Democrat,Rober Gray,44,
Simpson,Pearl,Governor,,Reform,Shawn O'Hara,3,
Simpson,Pearl,Governor,,Democrat,Time Johnson,45,
Simpson,Pearl,Governor,,Republican,Tate Reeves,239,
Simpson,Pinola,Governor,,Republican,Phill Bryant,167,1
Simpson,Pinola,Governor,,Democrat,Rober Gray,65,
Simpson,Pinola,Governor,,Reform,Shawn O'Hara,1,
Simpson,Pinola,Governor,,Democrat,Time Johnson,65,
Simpson,Pinola,Governor,,Republican,Tate Reeves,150,
Simpson,Saratoga,Governor,,Republican,Phill Bryant,125,1
Simpson,Saratoga,Governor,,Democrat,Rober Gray,80,
Simpson,Saratoga,Governor,,Reform,Shawn O'Hara,6,
Simpson,Saratoga,Governor,,Democrat,Time Johnson,84,
Simpson,Saratoga,Governor,,Republican,Tate Reeves,114,
Simpson,Shivers,Governor,,Republican,Phill Bryant,129,1
Simpson,Shivers,Governor,,Democrat,Rober Gray,75,
Simpson,Shivers,Governor,,Reform,Shawn O'Hara,2,
Simpson,Shivers,Governor,,Democrat,Time Johnson,79,
Simpson,Shivers,Governor,,Republican,Tate Reeves,111,
Simpson,Sumrall,Governor,,Republican,Phill Bryant,242,1
Simpson,Sumrall,Governor,,Democrat,Rober Gray,38,
Simpson,Sumrall,Governor,,Reform,Shawn O'Hara,1,
Simpson,Sumrall,Governor,,Democrat,Time Johnson,46,
Simpson,Sumrall,Governor,,Republican,Tate Reeves,226,
Simpson,Weathersby,Governor,,Republican,Phill Bryant,129,
Simpson,Weathersby,Governor,,Democrat,Rober Gray,228,
Simpson,Weathersby,Governor,,Reform,Shawn O'Hara,6,
Simpson,Weathersby,Governor,,Democrat,Time Johnson,233,1
Simpson,Weathersby,Governor,,Republican,Tate Reeves,105,
Simpson,Bowie,Lieutenant Governor,,Libertarian,Ron Williams,6,1
Simpson,Bowie,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Simpson,Braxton,Lieutenant Governor,,Libertarian,Ron Williams,8,1
Simpson,Braxton,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Simpson,Brldgeport,Lieutenant Governor,,Libertarian,Ron Williams,2,
