county,precinct,office,district,candidate,party,total
Jefferson Davis,Bassfield 26,Governor,,Phil  Bryant,Republican,156
Jefferson Davis,Bassfield 26,Governor,,Robert  Gray,Democrat,96
Jefferson Davis,Bassfield 26,Governor,,Shawn  O'Hara,Reform,0
Jefferson Davis,Bassfield 26,Lieutenant Governor,,Tim  Johnson,Democrat,105
Jefferson Davis,Bassfield 26,Lieutenant Governor,,Tate  Reeves,Republican,130
Jefferson Davis,Bassfield 26,Lieutenant Governor,,Ron  Williams,Libertarian,4
Jefferson Davis,Bassfield 26,Lieutenant Governor,,Rosa  B.  Williams,Reform,5
Jefferson Davis,Bassfield 26,Secretary of State,,Charles  E.  Graham,Democrat,106
Jefferson Davis,Bassfield 26,Secretary of State,,Delbert  Hosemann,Republican,139
Jefferson Davis,Bassfield 26,Secretary of State,,Randy  Walker,Reform,2
Jefferson Davis,Bassfield 26,Attorney General,,Jim  Hood,Democrat,167
Jefferson Davis,Bassfield 26,Attorney General,,Mike  Hurst,Republican,80
Jefferson Davis,Bassfield 26,State Auditor,,Stacey  E.  Pickering,Republican,134
Jefferson Davis,Bassfield 26,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,106
Jefferson Davis,Bassfield 26,State Auditor,,Lajena  Walley,Reform,1
Jefferson Davis,Bassfield 31,Governor,,Phil  Bryant,Republican,134
Jefferson Davis,Bassfield 31,Governor,,Robert  Gray,Democrat,233
Jefferson Davis,Bassfield 31,Governor,,Shawn  O'Hara,Reform,8
Jefferson Davis,Bassfield 31,Lieutenant Governor,,Tim  Johnson,Democrat,247
Jefferson Davis,Bassfield 31,Lieutenant Governor,,Tate  Reeves,Republican,113
Jefferson Davis,Bassfield 31,Lieutenant Governor,,Ron  Williams,Libertarian,8
Jefferson Davis,Bassfield 31,Lieutenant Governor,,Rosa  B.  Williams,Reform,7
Jefferson Davis,Bassfield 31,Secretary of State,,Charles  E.  Graham,Democrat,273
Jefferson Davis,Bassfield 31,Secretary of State,,Delbert  Hosemann,Republican,91
Jefferson Davis,Bassfield 31,Secretary of State,,Randy  Walker,Reform,12
Jefferson Davis,Bassfield 31,Attorney General,,Jim  Hood,Democrat,317
Jefferson Davis,Bassfield 31,Attorney General,,Mike  Hurst,Republican,61
Jefferson Davis,Bassfield 31,State Auditor,,Stacey  E.  Pickering,Republican,112
Jefferson Davis,Bassfield 31,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,253
Jefferson Davis,Bassfield 31,State Auditor,,Lajena  Walley,Reform,3
Jefferson Davis,Bassfield 32,Governor,,Phil  Bryant,Republican,113
Jefferson Davis,Bassfield 32,Governor,,Robert  Gray,Democrat,249
Jefferson Davis,Bassfield 32,Governor,,Shawn  O'Hara,Reform,5
Jefferson Davis,Bassfield 32,Lieutenant Governor,,Tim  Johnson,Democrat,240
Jefferson Davis,Bassfield 32,Lieutenant Governor,,Tate  Reeves,Republican,107
Jefferson Davis,Bassfield 32,Lieutenant Governor,,Ron  Williams,Libertarian,11
Jefferson Davis,Bassfield 32,Lieutenant Governor,,Rosa  B.  Williams,Reform,6
Jefferson Davis,Bassfield 32,Secretary of State,,Charles  E.  Graham,Democrat,275
Jefferson Davis,Bassfield 32,Secretary of State,,Delbert  Hosemann,Republican,84
Jefferson Davis,Bassfield 32,Secretary of State,,Randy  Walker,Reform,4
Jefferson Davis,Bassfield 32,Attorney General,,Jim  Hood,Democrat,315
Jefferson Davis,Bassfield 32,Attorney General,,Mike  Hurst,Republican,51
Jefferson Davis,Bassfield 32,State Auditor,,Stacey  E.  Pickering,Republican,88
Jefferson Davis,Bassfield 32,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,266
Jefferson Davis,Bassfield 32,State Auditor,,Lajena  Walley,Reform,6
Jefferson Davis,Carson 22,Governor,,Phil  Bryant,Republican,107
Jefferson Davis,Carson 22,Governor,,Robert  Gray,Democrat,35
Jefferson Davis,Carson 22,Governor,,Shawn  O'Hara,Reform,0
Jefferson Davis,Carson 22,Lieutenant Governor,,Tim  Johnson,Democrat,31
Jefferson Davis,Carson 22,Lieutenant Governor,,Tate  Reeves,Republican,107
Jefferson Davis,Carson 22,Lieutenant Governor,,Ron  Williams,Libertarian,3
Jefferson Davis,Carson 22,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Jefferson Davis,Carson 22,Secretary of State,,Charles  E.  Graham,Democrat,34
Jefferson Davis,Carson 22,Secretary of State,,Delbert  Hosemann,Republican,103
Jefferson Davis,Carson 22,Secretary of State,,Randy  Walker,Reform,2
Jefferson Davis,Carson 22,Attorney General,,Jim  Hood,Democrat,70
Jefferson Davis,Carson 22,Attorney General,,Mike  Hurst,Republican,71
Jefferson Davis,Carson 22,State Auditor,,Stacey  E.  Pickering,Republican,102
Jefferson Davis,Carson 22,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,40
Jefferson Davis,Carson 22,State Auditor,,Lajena  Walley,Reform,0
Jefferson Davis,Clem 41,Governor,,Phil  Bryant,Republican,73
Jefferson Davis,Clem 41,Governor,,Robert  Gray,Democrat,49
Jefferson Davis,Clem 41,Governor,,Shawn  O'Hara,Reform,3
Jefferson Davis,Clem 41,Lieutenant Governor,,Tim  Johnson,Democrat,53
Jefferson Davis,Clem 41,Lieutenant Governor,,Tate  Reeves,Republican,69
Jefferson Davis,Clem 41,Lieutenant Governor,,Ron  Williams,Libertarian,4
Jefferson Davis,Clem 41,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Jefferson Davis,Clem 41,Secretary of State,,Charles  E.  Graham,Democrat,55
Jefferson Davis,Clem 41,Secretary of State,,Delbert  Hosemann,Republican,66
Jefferson Davis,Clem 41,Secretary of State,,Randy  Walker,Reform,1
Jefferson Davis,Clem 41,Attorney General,,Jim  Hood,Democrat,81
Jefferson Davis,Clem 41,Attorney General,,Mike  Hurst,Republican,45
Jefferson Davis,Clem 41,State Auditor,,Stacey  E.  Pickering,Republican,68
Jefferson Davis,Clem 41,State Auditor,,Jocelyn  'Joce'  Pepper  Pritchett,Democrat,53
Jefferson Davis,Clem 41,State Auditor,,Lajena  Walley,Reform,3
Jefferson Davis,Good Hope 33,Governor,,Phil  Bryant,Republican,108
Jefferson Davis,Good Hope 33,Governor,,Robert  Gray,Democrat,50
Jefferson Davis,Good Hope 33,Governor,,Shawn  O'Hara,Reform,1
Jefferson Davis,Good Hope 33,Lieutenant Governor,,Tim  Johnson,Democrat,51
Jefferson Davis,Good Hope 33,Lieutenant Governor,,Tate  Reeves,Republican,101
Jefferson Davis,Good Hope 33,Lieutenant Governor,,Ron  Williams,Libertarian,4
Jefferson Davis,Good Hope 33,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Jefferson Davis,Good Hope 33,Secretary of State,,Charles  E.  Graham,Democrat,55
Jefferson Davis,Good Hope 33,Secretary of State,,Delbert  Hosemann,Republican,95
