county,precinct,office,district,candidate,party,total
Noxubee,Earl Nash,Commissioner of Insurance,,Mike Chaney,Republican,341
Noxubee,Earl Nash,State Senate,16,Angela Turner,Democrat,64
Noxubee,Earl Nash,State Senate,32,Wallace Pogue,Democrat,500
Noxubee,Earl Nash,State Senate,32,Randy Rushing,Republican,122
Noxubee,Earl Nash,State House,42,Carl Mickens,Democrat,596
Noxubee,Earl Nash,State House,42,Dorothy Baker Hines,Independent,218
Noxubee,Mashulaville,Governor,,Phil  Bryant,Republican,132
Noxubee,Mashulaville,Governor,,Robert  Gray,Democrat,97
Noxubee,Mashulaville,Governor,,Shawn  O'Hara,Reform,1
Noxubee,Mashulaville,Lieutenant Governor,,Tim  Johnson,Democrat,98
Noxubee,Mashulaville,Lieutenant Governor,,Tate  Reeves,Republican,123
Noxubee,Mashulaville,Lieutenant Governor,,Ron  Williams,Libertarian,3
Noxubee,Mashulaville,Lieutenant Governor,,Rosa  B.  Williams,Reform,4
Noxubee,Mashulaville,Secretary of State,,Charles  E.  Graham,Democrat,111
Noxubee,Mashulaville,Secretary of State,,Delbert  Hosemann,Republican,114
Noxubee,Mashulaville,Secretary of State,,Randy  Walker,Reform,5
Noxubee,Mashulaville,Attorney General,,Jim  Hood,Democrat,148
Noxubee,Mashulaville,Attorney General,,Mike  Hurst,Republican,85
Noxubee,Mashulaville,State Auditor,,Stacey  E.  Pickering,Republican,120
Noxubee,Mashulaville,State Auditor,,Jocelyn Pepper Pritchett,Democrat,100
Noxubee,Mashulaville,State Auditor,,Lajena  Walley,Reform,0
Noxubee,Mashulaville,State Treasurer,,Lynn Fitch,Republican,130
Noxubee,Mashulaville,State Treasurer,,Viola McFarland,Reform,66
Noxubee,Mashulaville,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,103
Noxubee,Mashulaville,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,119
Noxubee,Mashulaville,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,1
Noxubee,Mashulaville,Commissioner of Insurance,,Mike Chaney,Republican,154
Noxubee,Mashulaville,State Senate,32,Sampson Jackson,Democrat,124
Noxubee,Mashulaville,State Senate,32,Don Wiggins,Republican,107
Noxubee,Mashulaville,State House,42,Carl Mickens,Democrat,131
Noxubee,Mashulaville,State House,42,Dorothy Baker Hines,Independent,115
Noxubee,Prairie Point,Governor,,Phil  Bryant,Republican,121
Noxubee,Prairie Point,Governor,,Robert  Gray,Democrat,163
Noxubee,Prairie Point,Governor,,Shawn  O'Hara,Reform,4
Noxubee,Prairie Point,Lieutenant Governor,,Tim  Johnson,Democrat,171
Noxubee,Prairie Point,Lieutenant Governor,,Tate  Reeves,Republican,116
Noxubee,Prairie Point,Lieutenant Governor,,Ron  Williams,Libertarian,1
Noxubee,Prairie Point,Lieutenant Governor,,Rosa  B.  Williams,Reform,3
Noxubee,Prairie Point,Secretary of State,,Charles  E.  Graham,Democrat,176
Noxubee,Prairie Point,Secretary of State,,Delbert  Hosemann,Republican,95
Noxubee,Prairie Point,Secretary of State,,Randy  Walker,Reform,11
Noxubee,Prairie Point,Attorney General,,Jim  Hood,Democrat,213
Noxubee,Prairie Point,Attorney General,,Mike  Hurst,Republican,78
Noxubee,Prairie Point,State Auditor,,Stacey  E.  Pickering,Republican,107
Noxubee,Prairie Point,State Auditor,,Jocelyn Pepper Pritchett,Democrat,164
Noxubee,Prairie Point,State Auditor,,Lajena  Walley,Reform,3
Noxubee,Prairie Point,State Treasurer,,Lynn Fitch,Republican,126
Noxubee,Prairie Point,State Treasurer,,Viola McFarland,Reform,79
Noxubee,Prairie Point,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,180
Noxubee,Prairie Point,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,95
Noxubee,Prairie Point,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,4
Noxubee,Prairie Point,Commissioner of Insurance,,Mike Chaney,Republican,159
Noxubee,Prairie Point,State Senate,16,Angela Turner,Democrat,194
Noxubee,Prairie Point,State Senate,32,Sampson Jackson,Democrat,4
Noxubee,Prairie Point,State Senate,32,Don Wiggins,Republican,14
Noxubee,Prairie Point,State House,42,Carl Mickens,Democrat,200
Noxubee,Prairie Point,State House,42,Dorothy Baker Hines,Independent,103
Noxubee,Shuqualak,Governor,,Phil  Bryant,Republican,123
Noxubee,Shuqualak,Governor,,Robert  Gray,Democrat,287
Noxubee,Shuqualak,Governor,,Shawn  O'Hara,Reform,3
Noxubee,Shuqualak,Lieutenant Governor,,Tim  Johnson,Democrat,293
Noxubee,Shuqualak,Lieutenant Governor,,Tate  Reeves,Republican,102
Noxubee,Shuqualak,Lieutenant Governor,,Ron  Williams,Libertarian,7
Noxubee,Shuqualak,Lieutenant Governor,,Rosa  B.  Williams,Reform,8
Noxubee,Shuqualak,Secretary of State,,Charles  E.  Graham,Democrat,307
Noxubee,Shuqualak,Secretary of State,,Delbert  Hosemann,Republican,86
Noxubee,Shuqualak,Secretary of State,,Randy  Walker,Reform,14
Noxubee,Shuqualak,Attorney General,,Jim  Hood,Democrat,338
Noxubee,Shuqualak,Attorney General,,Mike  Hurst,Republican,74
Noxubee,Shuqualak,State Auditor,,Stacey  E.  Pickering,Republican,108
Noxubee,Shuqualak,State Auditor,,Jocelyn Pepper Pritchett,Democrat,291
Noxubee,Shuqualak,State Auditor,,Lajena  Walley,Reform,4
Noxubee,Shuqualak,State Treasurer,,Lynn Fitch,Republican,147
Noxubee,Shuqualak,State Treasurer,,Viola McFarland,Reform,124
Noxubee,Shuqualak,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,312
Noxubee,Shuqualak,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,85
Noxubee,Shuqualak,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,3
Noxubee,Shuqualak,Commissioner of Insurance,,Mike Chaney,Republican,192
Noxubee,Shuqualak,State Senate,16,Angela Turner,Democrat,1
Noxubee,Shuqualak,State Senate,32,Sampson Jackson,Democrat,343
Noxubee,Shuqualak,State Senate,32,Don Wiggins,Republican,68
Noxubee,Shuqualak,State House,42,Carl Mickens,Democrat,308
Noxubee,Shuqualak,State House,42,Dorothy Baker Hines,Independent,118
Noxubee,Summerville,Governor,,Phil  Bryant,Republican,62
Noxubee,Summerville,Governor,,Robert  Gray,Democrat,16
Noxubee,Summerville,Governor,,Shawn  O'Hara,Reform,0
Noxubee,Summerville,Lieutenant Governor,,Tim  Johnson,Democrat,19
Noxubee,Summerville,Lieutenant Governor,,Tate  Reeves,Republican,54
Noxubee,Summerville,Lieutenant Governor,,Ron  Williams,Libertarian,0
Noxubee,Summerville,Lieutenant Governor,,Rosa  B.  Williams,Reform,3
Noxubee,Summerville,Secretary of State,,Charles  E.  Graham,Democrat,16
Noxubee,Summerville,Secretary of State,,Delbert  Hosemann,Republican,55
Noxubee,Summerville,Secretary of State,,Randy  Walker,Reform,8
Noxubee,Summerville,Attorney General,,Jim  Hood,Democrat,40
Noxubee,Summerville,Attorney General,,Mike  Hurst,Republican,38
Noxubee,Summerville,State Auditor,,Stacey  E.  Pickering,Republican,59
Noxubee,Summerville,State Auditor,,Jocelyn Pepper Pritchett,Democrat,15
Noxubee,Summerville,State Auditor,,Lajena  Walley,Reform,3
Noxubee,Summerville,State Treasurer,,Lynn Fitch,Republican,62
Noxubee,Summerville,State Treasurer,,Viola McFarland,Reform,6
Noxubee,Summerville,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,15
Noxubee,Summerville,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,56
Noxubee,Summerville,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,3
Noxubee,Summerville,Commissioner of Insurance,,Mike Chaney,Republican,62
Noxubee,Summerville,State Senate,32,Sampson Jackson,Democrat,35
Noxubee,Summerville,State Senate,32,Don Wiggins,Republican,43
Noxubee,Summerville,State House,42,Carl Mickens,Democrat,21
Noxubee,Summerville,State House,42,Dorothy Baker Hines,Independent,56
Noxubee,,Governor,,Phil  Bryant,Republican,1217
Noxubee,,Governor,,Robert  Gray,Democrat,2190
Noxubee,,Governor,,Shawn  O'Hara,Reform,49
Noxubee,,Lieutenant Governor,,Tim  Johnson,Democrat,2321
Noxubee,,Lieutenant Governor,,Tate  Reeves,Republican,1021
Noxubee,,Lieutenant Governor,,Ron  Williams,Libertarian,55
Noxubee,,Lieutenant Governor,,Rosa  B.  Williams,Reform,64
Noxubee,,Secretary of State,,Charles  E.  Graham,Democrat,2365
Noxubee,,Secretary of State,,Delbert  Hosemann,Republican,864
Noxubee,,Secretary of State,,Randy  Walker,Reform,147
Noxubee,,Attorney General,,Jim  Hood,Democrat,2817
Noxubee,,Attorney General,,Mike  Hurst,Republican,669
Noxubee,,State Auditor,,Stacey  E.  Pickering,Republican,1024
Noxubee,,State Auditor,,Jocelyn Pepper Pritchett,Democrat,2264
Noxubee,,State Auditor,,Lajena  Walley,Reform,46
Noxubee,,State Treasurer,,Lynn Fitch,Republican,1338
Noxubee,,State Treasurer,,Viola McFarland,Reform,968
Noxubee,,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,2392
Noxubee,,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,888
Noxubee,,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,62
Noxubee,,Commissioner of Insurance,,Mike Chaney,Republican,1739
Noxubee,,State Senate,16,Angela Turner,Democrat,1564
Noxubee,,State Senate,32,Sampson Jackson,Democrat,1007
Noxubee,,State Senate,32,Don Wiggins,Republican,354
Noxubee,,State House,42,Carl Mickens,Democrat,2642
Noxubee,,State House,42,Dorothy Baker Hines,Independent,1080
