candidate,office,district,party,county,votes
Ricky A. Cummings,State House,1,Democrat,Alcorn,1503
Brian Johnson,State House,1,Democrat,Alcorn,874
Ricky A. Cummings,State House,1,Democrat,Tishomingo,3887
Brian Johnson,State House,1,Democrat,Tishomingo,2096
Brian Johnson,State House,1,Democrat,,2970
Ricky A. Cummings,State House,1,Democrat,,5390
Harvey Moss,State House,2,Democrat,Alcorn,4905
Harvey Moss,State House,2,Democrat,,4905
Tom Coward,State Senate,2,Democrat,Benton,512
Ralph H. Doxey,State Senate,2,Democrat,Benton,2012
Danny Q. Jackson,State Senate,2,Democrat,Benton,802
Lennell (Big Luke) Lucas,State Senate,2,Democrat,Benton,707
Tom Coward,State Senate,2,Democrat,Marshall,627
Ralph H. Doxey,State Senate,2,Democrat,Marshall,4262
Danny Q. Jackson,State Senate,2,Democrat,Marshall,672
Lennell (Big Luke) Lucas,State Senate,2,Democrat,Marshall,3341
Tom Coward,State Senate,2,Democrat,Tippah,1006
Ralph H. Doxey,State Senate,2,Democrat,Tippah,1513
Danny Q. Jackson,State Senate,2,Democrat,Tippah,1384
Lennell (Big Luke) Lucas,State Senate,2,Democrat,Tippah,480
Danny Q. Jackson,State Senate,2,Democrat,,2858
Lennell (Big Luke) Lucas,State Senate,2,Democrat,,4528
Ralph H. Doxey,State Senate,2,Democrat,,7787
Tom Coward,State Senate,2,Democrat,,2145
W.J. (Billy) McCoy,State House,3,Democrat,Alcorn,782
W.J. (Billy) McCoy,State House,3,Democrat,,782
Nickey Browning,State Senate,3,Democrat,Calhoun,753
Carl Sudduth,State Senate,3,Democrat,Calhoun,264
Tim Tucker,State Senate,3,Democrat,Calhoun,409
Patty Whitten Young,State Senate,3,Democrat,Calhoun,214
Nickey Browning,State Senate,3,Democrat,Pontotoc,5217
Carl Sudduth,State Senate,3,Democrat,Pontotoc,1076
Tim Tucker,State Senate,3,Democrat,Pontotoc,1154
Patty Whitten Young,State Senate,3,Democrat,Pontotoc,611
Nickey Browning,State Senate,3,Democrat,Union,5456
Carl Sudduth,State Senate,3,Democrat,Union,1296
Tim Tucker,State Senate,3,Democrat,Union,1013
Patty Whitten Young,State Senate,3,Democrat,Union,542
Carl Sudduth,State Senate,3,Democrat,,2636
Nickey Browning,State Senate,3,Democrat,,11426
Patty Whitten Young,State Senate,3,Democrat,,1367
Tim Tucker,State Senate,3,Democrat,,2576
Steve Fisher,State House,4,Democrat,Benton,13
Greg Ward,State House,4,Democrat,Benton,38
Steve Fisher,State House,4,Democrat,Tippah,1552
Greg Ward,State House,4,Democrat,Tippah,6921
Steve Fisher,State House,4,Democrat,Union,197
Greg Ward,State House,4,Democrat,Union,250
Greg Ward,State House,4,Democrat,,7209
Steve Fisher,State House,4,Democrat,,1762
Eric Powell,State Senate,4,Democrat,Alcorn,7083
Eric Powell,State Senate,4,Democrat,Tishomingo,2715
Eric Powell,State Senate,4,Democrat,,9798
Samantha M. Bean-McKinnie,State House,5,Democrat,Benton,121
Kelvin Buck,State House,5,Democrat,Benton,48
Hoyt Johnson,State House,5,Democrat,Benton,114
Ronnie Luther,State House,5,Democrat,Benton,407
Samantha M. Bean-Mckinnie,State House,5,Democrat,Marshall,1045
Kelvin Buck,State House,5,Democrat,Marshall,2159
Hoyt Johnson,State House,5,Democrat,Marshall,749
Ronnie Luther,State House,5,Democrat,Marshall,1415
Hoyt Johnson,State House,5,Democrat,,863
Kelvin Buck,State House,5,Democrat,,2207
Ronnie Luther,State House,5,Democrat,,1822
Samantha M. Bean-McKinnie,State House,5,Democrat,,1166
Brad Morris,State Senate,5,Democrat,Itawamba,3028
"J.P. Wilemon, Jr.",State Senate,5,Democrat,Itawamba,4247
Brad Morris,State Senate,5,Democrat,Prentiss,2674
"J.P. Wilemon, Jr.",State Senate,5,Democrat,Prentiss,5219
Brad Morris,State Senate,5,Democrat,Tishomingo,586
"J.P. Wilemon, Jr.",State Senate,5,Democrat,Tishomingo,3592
Brad Morris,State Senate,5,Democrat,,6288
"J.P. Wilemon, Jr.",State Senate,5,Democrat,,13058
Doyle Lambert,State Senate,6,Democrat,Lee,3728
Sherry M. Pittman,State Senate,6,Democrat,Lee,4150
Doyle Lambert,State Senate,6,Democrat,Pontotoc,303
Sherry M. Pittman,State Senate,6,Democrat,Pontotoc,279
Doyle Lambert,State Senate,6,Democrat,,4031
Sherry M. Pittman,State Senate,6,Democrat,,4429
Hob Bryan,State Senate,7,Democrat,Itawamba,1081
Hob Bryan,State Senate,7,Democrat,Lee,1682
Hob Bryan,State Senate,7,Democrat,,2763
Jack Gordon,State Senate,8,Democrat,Calhoun,1748
Raymond A. Paden,State Senate,8,Democrat,Calhoun,1327
Jack Gordon,State Senate,8,Democrat,Chickasaw,3518
Raymond A. Paden,State Senate,8,Democrat,Chickasaw,3529
Jack Gordon,State Senate,8,Democrat,Grenada,2138
Raymond A. Paden,State Senate,8,Democrat,Grenada,898
Jack Gordon,State Senate,8,Democrat,Lee,1490
Raymond A. Paden,State Senate,8,Democrat,Lee,1339
Jack Gordon,State Senate,8,Democrat,,8894
Raymond A. Paden,State Senate,8,Democrat,,7093
Clayton P. Henderson,State House,9,Democrat,Coahoma,244
"Christophe Thomas, Sr.",State House,9,Democrat,Coahoma,123
Clayton P. Henderson,State House,9,Democrat,Panola,285
"Christophe Thomas, Sr.",State House,9,Democrat,Panola,81
Clayton P. Henderson,State House,9,Democrat,Quitman,2079
"Christophe Thomas, Sr.",State House,9,Democrat,Quitman,577
Clayton P. Henderson,State House,9,Democrat,Tate,626
"Christophe Thomas, Sr.",State House,9,Democrat,Tate,278
Clayton P. Henderson,State House,9,Democrat,Tunica,2021
"Christophe Thomas, Sr.",State House,9,Democrat,Tunica,397
"Christophe Thomas, Sr.",State House,9,Democrat,,1456
Clayton P. Henderson,State House,9,Democrat,,5255
Gray Tollison,State Senate,9,Democrat,Lafayette,6503
Gray Tollison,State Senate,9,Democrat,,6503
James D. (Dennis) Bullard,State House,10,Democrat,Lafayette,679
Warner F. McBride,State House,10,Democrat,Lafayette,1035
James D. (Dennis) Bullard,State House,10,Democrat,Panola,713
Warner F. McBride,State House,10,Democrat,Panola,3382
James D. (Dennis) Bullard,State House,10,Democrat,Tallahatchie,57
Warner F. McBride,State House,10,Democrat,Tallahatchie,247
James D. (Dennis) Bullard,State House,10,Democrat,,1449
Warner F. McBride,State House,10,Democrat,,4664
Nolan Mettetal,State Senate,10,Democrat,Panola,7066
Nolan Mettetal,State Senate,10,Democrat,,7066
Leonard Morris,State House,11,Democrat,Panola,3205
Leonard Morris,State House,11,Democrat,,3205
Joseph R. (Joe) Dulaney,State Senate,11,Democrat,Coahoma,3456
Robert (Bobby) Jackson,State Senate,11,Democrat,Coahoma,2529
Boone Newton,State Senate,11,Democrat,Coahoma,281
"Joe W. Phillips, Sr.",State Senate,11,Democrat,Coahoma,492
Joseph R. (Joe) Dulaney,State Senate,11,Democrat,Quitman,1254
Robert (Bobby) Jackson,State Senate,11,Democrat,Quitman,2467
Boone Newton,State Senate,11,Democrat,Quitman,427
"Joe W. Phillips, Sr.",State Senate,11,Democrat,Quitman,213
Joseph R. (Joe) Dulaney,State Senate,11,Democrat,Tate,591
Robert (Bobby) Jackson,State Senate,11,Democrat,Tate,235
Boone Newton,State Senate,11,Democrat,Tate,35
"Joe W. Phillips, Sr.",State Senate,11,Democrat,Tate,53
Joseph R. (Joe) Dulaney,State Senate,11,Democrat,Tunica,1729
Robert (Bobby) Jackson,State Senate,11,Democrat,Tunica,899
Boone Newton,State Senate,11,Democrat,Tunica,71
"Joe W. Phillips, Sr.",State Senate,11,Democrat,Tunica,72
Boone Newton,State Senate,11,Democrat,,814
"Joe W. Phillips, Sr.",State Senate,11,Democrat,,830
Joseph R. (Joe) Dulaney,State Senate,11,Democrat,,7030
Robert (Bobby) Jackson,State Senate,11,Democrat,,6130
Jay Eads,State House,12,Democrat,Lafayette,2750
Jay Eads,State House,12,Democrat,,2750
Jack Gadd,State House,13,Democrat,Lafayette,1282
Jack Gadd,State House,13,Democrat,Marshall,2281
Jack Gadd,State House,13,Democrat,Union,329
Jack Gadd,State House,13,Democrat,,3892
"Terrence Hurssey, Sr.",State Senate,13,Democrat,Humphreys,1781
Willie Simmons,State Senate,13,Democrat,Humphreys,547
"Terrence Hurssey, Sr.",State Senate,13,Democrat,Sunflower,2504
Willie Simmons,State Senate,13,Democrat,Sunflower,4392
"Terrence Hurssey, Sr.",State Senate,13,Democrat,,4285
Willie Simmons,State Senate,13,Democrat,,4939
Pam Denham,State House,14,Democrat,Pontotoc,73
Randy Mitchell,State House,14,Democrat,Pontotoc,142
Margaret Ellis Rogers,State House,14,Democrat,Pontotoc,70
Pam Denham,State House,14,Democrat,Union,1824
