candidate,office,party,county,precinct,votes
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-01 East Gloster,0
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-02 Liberty,1
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-03 New Zion,3
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-04 Zion Hill,1
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-01 Amite River,4
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-02 Ariel,1
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-03 Berwick,0
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-04 East Centreville,1
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-05 Street,5
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,3-01 Crosby,1
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,3-02 Gloster,1
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,3-03 Homochitto,0
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,3-04 O'Neil,0
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,4-01 East Fork,0
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Amite,4-02 East Liberty,1
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-01 East Gloster,1
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-02 Liberty,1
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-03 New Zion,0
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-04 Zion Hill,1
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-01 Amite River,1
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-02 Ariel,1
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-03 Berwick,2
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-04 East Centreville,3
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-05 Street,1
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,3-01 Crosby,0
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,3-02 Gloster,3
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,3-03 Homochitto,0
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,3-04 O'Neil,0
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,4-01 East Fork,0
Howard Dean,PRESIDENT/VICE PRESIDENT,Democratic,Amite,4-02 East Liberty,1
John Edwards,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-01 East Gloster,2
John Edwards,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-02 Liberty,4
John Edwards,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-03 New Zion,3
John Edwards,PRESIDENT/VICE PRESIDENT,Democratic,Amite,1-04 Zion Hill,3
John Edwards,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-01 Amite River,0
John Edwards,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-02 Ariel,2
John Edwards,PRESIDENT/VICE PRESIDENT,Democratic,Amite,2-03 Berwick,1
