page,candidate,office,district,party,county,precinct,votes,winner
2,John McCain,President,,Republican,Tippah,Threeforks,238,
2,Barack Obama,President,,Democrat,Tippah,Threeforks,47,
2,Chuck Baldwin,President,,Constitution,Tippah,Threeforks,2,
2,Bob Barr,President,,Libertarian,Tippah,Threeforks,0,
2,Cynthia A. McKinney,President,,Green,Tippah,Threeforks,0,
2,Ralph Nader,President,,Independent,Tippah,Threeforks,2,
2,Ted C. Weill,President,,Reform,Tippah,Threeforks,0,
2,Thad Cochran,U.S. Senate,,Republican,Tippah,Threeforks,232,
2,Erik R. Fleming,U.S. Senate,,Democrat,Tippah,Threeforks,51,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Tippah,Threeforks,73,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Tippah,Threeforks,210,
2,Travis W. Childers,U.S. House,1,Democrat,Tippah,Threeforks,134,
2,Greg Davis,U.S. House,1,Republican,Tippah,Threeforks,148,
2,Wally Pang,U.S. House,1,Independent,Tippah,Threeforks,1,
2,John M. Wages Jr.,U.S. House,1,Green,Tippah,Threeforks,2,
2,John McCain,President,,Republican,Tippah,Brownfield,110,
2,Barack Obama,President,,Democrat,Tippah,Brownfield,20,
2,Chuck Baldwin,President,,Constitution,Tippah,Brownfield,0,
2,Bob Barr,President,,Libertarian,Tippah,Brownfield,0,
2,Cynthia A. McKinney,President,,Green,Tippah,Brownfield,0,
2,Ralph Nader,President,,Independent,Tippah,Brownfield,1,
2,Ted C. Weill,President,,Reform,Tippah,Brownfield,0,
2,Thad Cochran,U.S. Senate,,Republican,Tippah,Brownfield,107,
2,Erik R. Fleming,U.S. Senate,,Democrat,Tippah,Brownfield,19,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Tippah,Brownfield,43,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Tippah,Brownfield,81,
2,Travis W. Childers,U.S. House,1,Democrat,Tippah,Brownfield,67,
2,Greg Davis,U.S. House,1,Republican,Tippah,Brownfield,65,
2,Wally Pang,U.S. House,1,Independent,Tippah,Brownfield,0,
2,John M. Wages Jr.,U.S. House,1,Green,Tippah,Brownfield,0,
2,John McCain,President,,Republican,Tippah,Walnut,363,
2,Barack Obama,President,,Democrat,Tippah,Walnut,124,
2,Chuck Baldwin,President,,Constitution,Tippah,Walnut,1,
2,Bob Barr,President,,Libertarian,Tippah,Walnut,0,
2,Cynthia A. McKinney,President,,Green,Tippah,Walnut,0,
2,Ralph Nader,President,,Independent,Tippah,Walnut,2,
2,Ted C. Weill,President,,Reform,Tippah,Walnut,0,
2,Thad Cochran,U.S. Senate,,Republican,Tippah,Walnut,352,
2,Erik R. Fleming,U.S. Senate,,Democrat,Tippah,Walnut,114,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Tippah,Walnut,144,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Tippah,Walnut,317,
2,Travis W. Childers,U.S. House,1,Democrat,Tippah,Walnut,282,
2,Greg Davis,U.S. House,1,Republican,Tippah,Walnut,197,
2,Wally Pang,U.S. House,1,Independent,Tippah,Walnut,3,
2,John M. Wages Jr.,U.S. House,1,Green,Tippah,Walnut,0,
2,John McCain,President,,Republican,Tippah,Chalybeate,426,
2,Barack Obama,President,,Democrat,Tippah,Chalybeate,102,
2,Chuck Baldwin,President,,Constitution,Tippah,Chalybeate,0,
2,Bob Barr,President,,Libertarian,Tippah,Chalybeate,1,
2,Cynthia A. McKinney,President,,Green,Tippah,Chalybeate,1,
2,Ralph Nader,President,,Independent,Tippah,Chalybeate,5,
2,Ted C. Weill,President,,Reform,Tippah,Chalybeate,1,
2,Thad Cochran,U.S. Senate,,Republican,Tippah,Chalybeate,412,
2,Erik R. Fleming,U.S. Senate,,Democrat,Tippah,Chalybeate,106,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Tippah,Chalybeate,154,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Tippah,Chalybeate,367,
2,Travis W. Childers,U.S. House,1,Democrat,Tippah,Chalybeate,317,
2,Greg Davis,U.S. House,1,Republican,Tippah,Chalybeate,203,
2,Wally Pang,U.S. House,1,Independent,Tippah,Chalybeate,4,
2,John M. Wages Jr.,U.S. House,1,Green,Tippah,Chalybeate,3,
2,John McCain,President,,Republican,Tippah,Tiplersville,148,
2,Barack Obama,President,,Democrat,Tippah,Tiplersville,151,
2,Chuck Baldwin,President,,Constitution,Tippah,Tiplersville,1,
2,Bob Barr,President,,Libertarian,Tippah,Tiplersville,1,
2,Cynthia A. McKinney,President,,Green,Tippah,Tiplersville,0,
2,Ralph Nader,President,,Independent,Tippah,Tiplersville,5,
