county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Rankin,109 W Pearl,Attorney General,,,Write-in,0,0,0,0
Rankin,109 W Pearl,Attorney General,,DEM,Jim Hood,237,229,5,3
Rankin,109 W Pearl,Attorney General,,REP,Mike Hurst,209,205,0,4
Rankin,109 W Pearl,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,109 W Pearl,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green,142,138,1,3
Rankin,109 W Pearl,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole,3,3,0,0
Rankin,109 W Pearl,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith,295,287,4,4
Rankin,109 W Pearl,Commissioner of Insurance,,,Write-in,10,10,0,0
Rankin,109 W Pearl,Commissioner of Insurance,,REP,Mike Chaney,362,351,4,7
Rankin,109 W Pearl,Governor,,,Write-in,2,2,0,0
Rankin,109 W Pearl,Governor,,DEM,Robert Gray,136,131,2,3
Rankin,109 W Pearl,Governor,,REF,Shawn O'Hara,6,6,0,0
Rankin,109 W Pearl,Governor,,REP,Phil Bryant,298,291,3,4
Rankin,109 W Pearl,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,109 W Pearl,Lieutenant Governor,,DEM,Tim Johnson,143,138,2,3
Rankin,109 W Pearl,Lieutenant Governor,,LIB,Ron Williams,9,9,0,0
Rankin,109 W Pearl,Lieutenant Governor,,REF,Rosa B. Williams,3,3,0,0
Rankin,109 W Pearl,Lieutenant Governor,,REP,Tate Reeves,286,279,3,4
Rankin,109 W Pearl,Secretary of State,,,Write-in,0,0,0,0
Rankin,109 W Pearl,Secretary of State,,DEM,Charles E. Graham,141,137,1,3
Rankin,109 W Pearl,Secretary of State,,REF,Randy Walker,6,5,0,1
Rankin,109 W Pearl,Secretary of State,,REP,Delbert Hosemann,297,290,4,3
Rankin,109 W Pearl,State Auditor,,,Write-in,0,0,0,0
Rankin,109 W Pearl,State Auditor,,DEM,Jocelyn Pepper Pritchett,138,133,2,3
Rankin,109 W Pearl,State Auditor,,REF,Lajena Walley,6,6,0,0
Rankin,109 W Pearl,State Auditor,,REP,Stacey E. Pickering,294,287,3,4
Rankin,109 W Pearl,State House,59,,Write-in,7,7,0,0
Rankin,109 W Pearl,State House,59,REP,Brent Powell,48,47,0,1
Rankin,109 W Pearl,State House,61,,Write-in,0,0,0,0
Rankin,109 W Pearl,State House,61,REP,Ray Rogers,102,99,1,2
Rankin,109 W Pearl,State House,68,,Write-in,4,4,0,0
Rankin,109 W Pearl,State House,68,DEM,Credell Calhoun,165,159,3,3
Rankin,109 W Pearl,State Senate,30,,Write-in,7,7,0,0
Rankin,109 W Pearl,State Senate,30,REP,Dean Kirby,356,345,4,7
Rankin,109 W Pearl,State Treasurer,,,Write-in,7,7,0,0
Rankin,109 W Pearl,State Treasurer,,REF,Viola V. McFarland,65,63,1,1
Rankin,109 W Pearl,State Treasurer,,REP,Lynn Fitch,337,327,4,6
Rankin,109 W Pearl,Ballots Cast,,,,447,435,5,7
Rankin,110 Clear Branch,Attorney General,,,Write-in,0,0,0,0
Rankin,110 Clear Branch,Attorney General,,DEM,Jim Hood,144,143,1,0
Rankin,110 Clear Branch,Attorney General,,REP,Mike Hurst,245,241,1,3
Rankin,110 Clear Branch,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,110 Clear Branch,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green,60,59,1,0
Rankin,110 Clear Branch,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole,9,9,0,0
Rankin,110 Clear Branch,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith,321,317,1,3
Rankin,110 Clear Branch,Commissioner of Insurance,,,Write-in,0,0,0,0
