candidate,office,district,party,county,precinct,votes
Joseph Biden,President,,D,Jackson,Hwy 57,0
Hillary Clinton,President,,D,Jackson,Hwy 57,27
Chris Dodd,President,,D,Jackson,Hwy 57,0
John Edwards,President,,D,Jackson,Hwy 57,1
Mike Gravel,President,,D,Jackson,Hwy 57,0
Dennis Kucinich,President,,D,Jackson,Hwy 57,0
Barack Obama,President,,D,Jackson,Hwy 57,4
Bill Richardson,President,,D,Jackson,Hwy 57,1
Erik R. Fleming,U.S. Senate,,D,Jackson,Hwy 57,13
Shawn O'Hara,U.S. Senate,,D,Jackson,Hwy 57,10
Gene Taylor,U.S. House,4,D,Jackson,Hwy 57,31
Joseph Biden,President,,D,Jackson,North Vancleave,4
Hillary Clinton,President,,D,Jackson,North Vancleave,143
Chris Dodd,President,,D,Jackson,North Vancleave,0
John Edwards,President,,D,Jackson,North Vancleave,2
Mike Gravel,President,,D,Jackson,North Vancleave,0
Dennis Kucinich,President,,D,Jackson,North Vancleave,1
Barack Obama,President,,D,Jackson,North Vancleave,112
Bill Richardson,President,,D,Jackson,North Vancleave,2
Erik R. Fleming,U.S. Senate,,D,Jackson,North Vancleave,99
Shawn O'Hara,U.S. Senate,,D,Jackson,North Vancleave,96
Gene Taylor,U.S. House,4,D,Jackson,North Vancleave,244
Joseph Biden,President,,D,Jackson,East Central,1
Hillary Clinton,President,,D,Jackson,East Central,413
Chris Dodd,President,,D,Jackson,East Central,0
John Edwards,President,,D,Jackson,East Central,10
Mike Gravel,President,,D,Jackson,East Central,0
Dennis Kucinich,President,,D,Jackson,East Central,2
Barack Obama,President,,D,Jackson,East Central,184
Bill Richardson,President,,D,Jackson,East Central,1
Erik R. Fleming,U.S. Senate,,D,Jackson,East Central,268
Shawn O'Hara,U.S. Senate,,D,Jackson,East Central,225
Gene Taylor,U.S. House,4,D,Jackson,East Central,555
Joseph Biden,President,,D,Jackson,Big Point,0
Hillary Clinton,President,,D,Jackson,Big Point,211
Chris Dodd,President,,D,Jackson,Big Point,2
John Edwards,President,,D,Jackson,Big Point,2
Mike Gravel,President,,D,Jackson,Big Point,1
Dennis Kucinich,President,,D,Jackson,Big Point,0
Barack Obama,President,,D,Jackson,Big Point,34
Bill Richardson,President,,D,Jackson,Big Point,0
Erik R. Fleming,U.S. Senate,,D,Jackson,Big Point,109
Shawn O'Hara,U.S. Senate,,D,Jackson,Big Point,91
Gene Taylor,U.S. House,4,D,Jackson,Big Point,227
Joseph Biden,President,,D,Jackson,Helena,0
Hillary Clinton,President,,D,Jackson,Helena,128
Chris Dodd,President,,D,Jackson,Helena,0
John Edwards,President,,D,Jackson,Helena,5
Mike Gravel,President,,D,Jackson,Helena,0
Dennis Kucinich,President,,D,Jackson,Helena,0
Barack Obama,President,,D,Jackson,Helena,31
Bill Richardson,President,,D,Jackson,Helena,0
Erik R. Fleming,U.S. Senate,,D,Jackson,Helena,73
Shawn O'Hara,U.S. Senate,,D,Jackson,Helena,49
Gene Taylor,U.S. House,4,D,Jackson,Helena,155
Joseph Biden,President,,D,Jackson,Escatawpa,1
Hillary Clinton,President,,D,Jackson,Escatawpa,216
Chris Dodd,President,,D,Jackson,Escatawpa,2
John Edwards,President,,D,Jackson,Escatawpa,6
Mike Gravel,President,,D,Jackson,Escatawpa,0
Dennis Kucinich,President,,D,Jackson,Escatawpa,0
Barack Obama,President,,D,Jackson,Escatawpa,200
Bill Richardson,President,,D,Jackson,Escatawpa,1
Erik R. Fleming,U.S. Senate,,D,Jackson,Escatawpa,178
Shawn O'Hara,U.S. Senate,,D,Jackson,Escatawpa,152
Gene Taylor,U.S. House,4,D,Jackson,Escatawpa,381
Joseph Biden,President,,D,Jackson,Orange Grove,1
Hillary Clinton,President,,D,Jackson,Orange Grove,154
Chris Dodd,President,,D,Jackson,Orange Grove,0
John Edwards,President,,D,Jackson,Orange Grove,4
Mike Gravel,President,,D,Jackson,Orange Grove,0
Dennis Kucinich,President,,D,Jackson,Orange Grove,0
Barack Obama,President,,D,Jackson,Orange Grove,66
Bill Richardson,President,,D,Jackson,Orange Grove,1
Erik R. Fleming,U.S. Senate,,D,Jackson,Orange Grove,111
Shawn O'Hara,U.S. Senate,,D,Jackson,Orange Grove,80
Gene Taylor,U.S. House,4,D,Jackson,Orange Grove,216
Joseph Biden,President,,D,Jackson,Union Hall,6
Hillary Clinton,President,,D,Jackson,Union Hall,87
Chris Dodd,President,,D,Jackson,Union Hall,3
John Edwards,President,,D,Jackson,Union Hall,3
Mike Gravel,President,,D,Jackson,Union Hall,0
Dennis Kucinich,President,,D,Jackson,Union Hall,2
Barack Obama,President,,D,Jackson,Union Hall,800
Bill Richardson,President,,D,Jackson,Union Hall,2
Erik R. Fleming,U.S. Senate,,D,Jackson,Union Hall,375
Shawn O'Hara,U.S. Senate,,D,Jackson,Union Hall,388
Gene Taylor,U.S. House,4,D,Jackson,Union Hall,818
Joseph Biden,President,,D,Jackson,Sue Ellen,0
Hillary Clinton,President,,D,Jackson,Sue Ellen,71
Chris Dodd,President,,D,Jackson,Sue Ellen,0
John Edwards,President,,D,Jackson,Sue Ellen,0
Mike Gravel,President,,D,Jackson,Sue Ellen,0
Dennis Kucinich,President,,D,Jackson,Sue Ellen,2
Barack Obama,President,,D,Jackson,Sue Ellen,823
Bill Richardson,President,,D,Jackson,Sue Ellen,1
Erik R. Fleming,U.S. Senate,,D,Jackson,Sue Ellen,354
Shawn O'Hara,U.S. Senate,,D,Jackson,Sue Ellen,356
Gene Taylor,U.S. House,4,D,Jackson,Sue Ellen,785
Joseph Biden,President,,D,Jackson,Rec Center,0
Hillary Clinton,President,,D,Jackson,Rec Center,78
Chris Dodd,President,,D,Jackson,Rec Center,3
John Edwards,President,,D,Jackson,Rec Center,1
Mike Gravel,President,,D,Jackson,Rec Center,0
Dennis Kucinich,President,,D,Jackson,Rec Center,3
Barack Obama,President,,D,Jackson,Rec Center,488
Bill Richardson,President,,D,Jackson,Rec Center,2
Erik R. Fleming,U.S. Senate,,D,Jackson,Rec Center,285
