candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Issaquena,Valley Park Community Center,61,
Mitt Romney,President,,Republican,Issaquena,Valley Park Community Center,83,
Virgil Goode,President,,Constitution,Issaquena,Valley Park Community Center,0,
Gary Johnson,President,,Libertarian,Issaquena,Valley Park Community Center,2,
Jill Stein,President,,Green,Issaquena,Valley Park Community Center,0,
Barbara Dale Washer,President,,Reform,Issaquena,Valley Park Community Center,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Issaquena,Valley Park Community Center,44,
Roger F. Wicker,U.S. Senate,,Republican,Issaquena,Valley Park Community Center,81,
Thomas Cramer,U.S. Senate,,Constitution,Issaquena,Valley Park Community Center,0,
Shawn O'Hara,U.S. Senate,,Reform,Issaquena,Valley Park Community Center,3,
Bill Marcy,U.S. House,2,Republican,Issaquena,Valley Park Community Center,81,
Benne G. Thompson,U.S. House,2,Democrat,Issaquena,Valley Park Community Center,60,
Cobby Mondale Williams,U.S. House,2,Independent,Issaquena,Valley Park Community Center,2,
Lajena Williams,U.S. House,2,Reform,Issaquena,Valley Park Community Center,0,
Barack Obama,President,,Democrat,Issaquena,Talluia Community Center,67,
Mitt Romney,President,,Republican,Issaquena,Talluia Community Center,82,
Virgil Goode,President,,Constitution,Issaquena,Talluia Community Center,0,
Gary Johnson,President,,Libertarian,Issaquena,Talluia Community Center,0,
Jill Stein,President,,Green,Issaquena,Talluia Community Center,0,
Barbara Dale Washer,President,,Reform,Issaquena,Talluia Community Center,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Issaquena,Talluia Community Center,59,
Roger F. Wicker,U.S. Senate,,Republican,Issaquena,Talluia Community Center,78,
Thomas Cramer,U.S. Senate,,Constitution,Issaquena,Talluia Community Center,0,
Shawn O'Hara,U.S. Senate,,Reform,Issaquena,Talluia Community Center,2,
Bill Marcy,U.S. House,2,Republican,Issaquena,Talluia Community Center,74,
Benne G. Thompson,U.S. House,2,Democrat,Issaquena,Talluia Community Center,66,
Cobby Mondale Williams,U.S. House,2,Independent,Issaquena,Talluia Community Center,2,
Lajena Williams,U.S. House,2,Reform,Issaquena,Talluia Community Center,0,
Barack Obama,President,,Democrat,Issaquena,Mayersville Courthouse,141,
Mitt Romney,President,,Republican,Issaquena,Mayersville Courthouse,7,
Virgil Goode,President,,Constitution,Issaquena,Mayersville Courthouse,1,
Gary Johnson,President,,Libertarian,Issaquena,Mayersville Courthouse,0,
Jill Stein,President,,Green,Issaquena,Mayersville Courthouse,0,
Barbara Dale Washer,President,,Reform,Issaquena,Mayersville Courthouse,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Issaquena,Mayersville Courthouse,114,
Roger F. Wicker,U.S. Senate,,Republican,Issaquena,Mayersville Courthouse,12,
Thomas Cramer,U.S. Senate,,Constitution,Issaquena,Mayersville Courthouse,3,
Shawn O'Hara,U.S. Senate,,Reform,Issaquena,Mayersville Courthouse,2,
Bill Marcy,U.S. House,2,Republican,Issaquena,Mayersville Courthouse,10,
Benne G. Thompson,U.S. House,2,Democrat,Issaquena,Mayersville Courthouse,136,
Cobby Mondale Williams,U.S. House,2,Independent,Issaquena,Mayersville Courthouse,2,
Lajena Williams,U.S. House,2,Reform,Issaquena,Mayersville Courthouse,0,
Barack Obama,President,,Democrat,Issaquena,Addie Voting Precinct,133,
Mitt Romney,President,,Republican,Issaquena,Addie Voting Precinct,44,
Virgil Goode,President,,Constitution,Issaquena,Addie Voting Precinct,0,
Gary Johnson,President,,Libertarian,Issaquena,Addie Voting Precinct,1,
Jill Stein,President,,Green,Issaquena,Addie Voting Precinct,0,
Barbara Dale Washer,President,,Reform,Issaquena,Addie Voting Precinct,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Issaquena,Addie Voting Precinct,100,
Roger F. Wicker,U.S. Senate,,Republican,Issaquena,Addie Voting Precinct,46,
Thomas Cramer,U.S. Senate,,Constitution,Issaquena,Addie Voting Precinct,4,
Shawn O'Hara,U.S. Senate,,Reform,Issaquena,Addie Voting Precinct,1,
Bill Marcy,U.S. House,2,Republican,Issaquena,Addie Voting Precinct,43,
Benne G. Thompson,U.S. House,2,Democrat,Issaquena,Addie Voting Precinct,123,
Cobby Mondale Williams,U.S. House,2,Independent,Issaquena,Addie Voting Precinct,0,
Lajena Williams,U.S. House,2,Reform,Issaquena,Addie Voting Precinct,1,
Barack Obama,President,,Democrat,Issaquena,Grace Voting Precinct,77,
Mitt Romney,President,,Republican,Issaquena,Grace Voting Precinct,86,
Virgil Goode,President,,Constitution,Issaquena,Grace Voting Precinct,0,
Gary Johnson,President,,Libertarian,Issaquena,Grace Voting Precinct,1,
Jill Stein,President,,Green,Issaquena,Grace Voting Precinct,1,
Barbara Dale Washer,President,,Reform,Issaquena,Grace Voting Precinct,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Issaquena,Grace Voting Precinct,65,
Roger F. Wicker,U.S. Senate,,Republican,Issaquena,Grace Voting Precinct,89,
Thomas Cramer,U.S. Senate,,Constitution,Issaquena,Grace Voting Precinct,2,
Shawn O'Hara,U.S. Senate,,Reform,Issaquena,Grace Voting Precinct,4,
Bill Marcy,U.S. House,2,Republican,Issaquena,Grace Voting Precinct,76,
Benne G. Thompson,U.S. House,2,Democrat,Issaquena,Grace Voting Precinct,83,
Cobby Mondale Williams,U.S. House,2,Independent,Issaquena,Grace Voting Precinct,2,
Lajena Williams,U.S. House,2,Reform,Issaquena,Grace Voting Precinct,2,
Barack Obama,President,,Democrat,Issaquena,,479,TRUE
Mitt Romney,President,,Republican,Issaquena,,302,
Virgil Goode,President,,Constitution,Issaquena,,1,
Gary Johnson,President,,Libertarian,Issaquena,,4,
Jill Stein,President,,Green,Issaquena,,1,
Barbara Dale Washer,President,,Reform,Issaquena,,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Issaquena,,382,TRUE
Roger F. Wicker,U.S. Senate,,Republican,Issaquena,,306,
Thomas Cramer,U.S. Senate,,Constitution,Issaquena,,9,
Shawn O'Hara,U.S. Senate,,Reform,Issaquena,,12,
Bill Marcy,U.S. House,2,Republican,Issaquena,,284,
Benne G. Thompson,U.S. House,2,Democrat,Issaquena,,468,TRUE
Cobby Mondale Williams,U.S. House,2,Independent,Issaquena,,8,
Lajena Williams,U.S. House,2,Reform,Issaquena,,3,
