candidate,office,party,county,precinct,votes
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,1-01 Five Points,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,1-02 North Corinth,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,1-03 Wenasoga,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,2-01 Glen,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,2-02 Central,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,2-03 Jacinto,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,3-01 East Third Street,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,3-02 South Corinth,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,3-03 Biggersville,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,3-04 Rienzi,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,4-01 College Hill,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,4-02 Kossuth,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,5-01 Bethel,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,5-02 Union Center,
Carol Moseley Braun,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,5-03 East Corinth,
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,1-01 Five Points,2
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,1-02 North Corinth,
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,1-03 Wenasoga,1
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,2-01 Glen,
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,2-02 Central,
Wesley Clark,PRESIDENT/VICE PRESIDENT,Democratic,Alcorn,2-03 Jacinto,3
