candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Yazoo,Mechanicsburg,55,
Mitt Romney,President,,Republican,Yazoo,Mechanicsburg,436,
Virgil Goode,President,,Constitution,Yazoo,Mechanicsburg,3,
Gary Johnson,President,,Libertarian,Yazoo,Mechanicsburg,3,
Jill Stein,President,,Green,Yazoo,Mechanicsburg,0,
Barbara Dale Washer,President,,Reform,Yazoo,Mechanicsburg,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Yazoo,Mechanicsburg,50,
Roger F. Wicker,U.S. Senate,,Republican,Yazoo,Mechanicsburg,425,
Thomas Cramer,U.S. Senate,,Constitution,Yazoo,Mechanicsburg,11,
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Mechanicsburg,2,
Bill Marcy,U.S. House,2,Republican,Yazoo,Mechanicsburg,386,
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Mechanicsburg,70,
Cobby Mondale Williams,U.S. House,2,Independent,Yazoo,Mechanicsburg,12,
Lajena Williams,U.S. House,2,Reform,Yazoo,Mechanicsburg,1,
Barack Obama,President,,Democrat,Yazoo,East Bentonia,127,
Mitt Romney,President,,Republican,Yazoo,East Bentonia,205,
Virgil Goode,President,,Constitution,Yazoo,East Bentonia,0,
Gary Johnson,President,,Libertarian,Yazoo,East Bentonia,3,
Jill Stein,President,,Green,Yazoo,East Bentonia,0,
Barbara Dale Washer,President,,Reform,Yazoo,East Bentonia,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Yazoo,East Bentonia,102,
Roger F. Wicker,U.S. Senate,,Republican,Yazoo,East Bentonia,213,
Thomas Cramer,U.S. Senate,,Constitution,Yazoo,East Bentonia,2,
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,East Bentonia,4,
Bill Marcy,U.S. House,2,Republican,Yazoo,East Bentonia,177,
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,East Bentonia,135,
Cobby Mondale Williams,U.S. House,2,Independent,Yazoo,East Bentonia,8,
Lajena Williams,U.S. House,2,Reform,Yazoo,East Bentonia,1,
Barack Obama,President,,Democrat,Yazoo,West Bentonia,339,
Mitt Romney,President,,Republican,Yazoo,West Bentonia,216,
Virgil Goode,President,,Constitution,Yazoo,West Bentonia,1,
Gary Johnson,President,,Libertarian,Yazoo,West Bentonia,1,
Jill Stein,President,,Green,Yazoo,West Bentonia,0,
Barbara Dale Washer,President,,Reform,Yazoo,West Bentonia,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Yazoo,West Bentonia,285,
Roger F. Wicker,U.S. Senate,,Republican,Yazoo,West Bentonia,219,
Thomas Cramer,U.S. Senate,,Constitution,Yazoo,West Bentonia,6,
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,West Bentonia,4,
Bill Marcy,U.S. House,2,Republican,Yazoo,West Bentonia,200,
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,West Bentonia,331,
Cobby Mondale Williams,U.S. House,2,Independent,Yazoo,West Bentonia,2,
Lajena Williams,U.S. House,2,Reform,Yazoo,West Bentonia,4,
Barack Obama,President,,Democrat,Yazoo,Center Ridge,55,
Mitt Romney,President,,Republican,Yazoo,Center Ridge,374,
Virgil Goode,President,,Constitution,Yazoo,Center Ridge,0,
Gary Johnson,President,,Libertarian,Yazoo,Center Ridge,2,
Jill Stein,President,,Green,Yazoo,Center Ridge,0,
Barbara Dale Washer,President,,Reform,Yazoo,Center Ridge,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Yazoo,Center Ridge,53,
Roger F. Wicker,U.S. Senate,,Republican,Yazoo,Center Ridge,362,
Thomas Cramer,U.S. Senate,,Constitution,Yazoo,Center Ridge,6,
Shawn O'Hara,U.S. Senate,,Reform,Yazoo,Center Ridge,1,
Bill Marcy,U.S. House,2,Republican,Yazoo,Center Ridge,323,
Bennie G. Thompson,U.S. House,2,Democrat,Yazoo,Center Ridge,82,
Cobby Mondale Williams,U.S. House,2,Independent,Yazoo,Center Ridge,5,
Lajena Williams,U.S. House,2,Reform,Yazoo,Center Ridge,1,
Barack Obama,President,,Democrat,Yazoo,Dover,63,
Mitt Romney,President,,Republican,Yazoo,Dover,270,
Virgil Goode,President,,Constitution,Yazoo,Dover,2,
