candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Adams,"Dist. 5, Airport",521,
Mitt Romney,President,,Republican,Adams,"Dist. 5, Airport",195,
Virgil Goode,President,,Constitution,Adams,"Dist. 5, Airport",0,
Gary Johnson,President,,Libertarian,Adams,"Dist. 5, Airport",1,
Jill Stein,President,,Green,Adams,"Dist. 5, Airport",0,
Barbara Dale Washer,President,,Reform,Adams,"Dist. 5, Airport",0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Adams,"Dist. 5, Airport",495,
Roger F. Wicker,U.S. Senate,,Republican,Adams,"Dist. 5, Airport",191,
Thomas Cramer,U.S. Senate,,Constitution,Adams,"Dist. 5, Airport",6,
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 5, Airport",4,
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 5, Airport",266,
"John ""Luke"" Pannell",U.S. House,3,Reform,Adams,"Dist. 5, Airport",161,
Barack Obama,President,,Democrat,Adams,"Dist. 1, By-Pass Fire",658,
Mitt Romney,President,,Republican,Adams,"Dist. 1, By-Pass Fire",249,
Virgil Goode,President,,Constitution,Adams,"Dist. 1, By-Pass Fire",0,
Gary Johnson,President,,Libertarian,Adams,"Dist. 1, By-Pass Fire",2,
Jill Stein,President,,Green,Adams,"Dist. 1, By-Pass Fire",1,
Barbara Dale Washer,President,,Reform,Adams,"Dist. 1, By-Pass Fire",0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Adams,"Dist. 1, By-Pass Fire",603,
Roger F. Wicker,U.S. Senate,,Republican,Adams,"Dist. 1, By-Pass Fire",234,
Thomas Cramer,U.S. Senate,,Constitution,Adams,"Dist. 1, By-Pass Fire",9,
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 1, By-Pass Fire",11,
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 1, By-Pass Fire",293,
"John ""Luke"" Pannell",U.S. House,3,Reform,Adams,"Dist. 1, By-Pass Fire",157,
Barack Obama,President,,Democrat,Adams,"Dist. 1, Bellemonte",507,
Mitt Romney,President,,Republican,Adams,"Dist. 1, Bellemonte",1201,
Virgil Goode,President,,Constitution,Adams,"Dist. 1, Bellemonte",4,
Gary Johnson,President,,Libertarian,Adams,"Dist. 1, Bellemonte",14,
Jill Stein,President,,Green,Adams,"Dist. 1, Bellemonte",1,
Barbara Dale Washer,President,,Reform,Adams,"Dist. 1, Bellemonte",1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Adams,"Dist. 1, Bellemonte",459,
Roger F. Wicker,U.S. Senate,,Republican,Adams,"Dist. 1, Bellemonte",1169,
Thomas Cramer,U.S. Senate,,Constitution,Adams,"Dist. 1, Bellemonte",17,
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 1, Bellemonte",19,
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 1, Bellemonte",1303,
"John ""Luke"" Pannell",U.S. House,3,Reform,Adams,"Dist. 1, Bellemonte",194,
Barack Obama,President,,Democrat,Adams,"Dist. 2, Beau Pre",318,
Mitt Romney,President,,Republican,Adams,"Dist. 2, Beau Pre",428,
Virgil Goode,President,,Constitution,Adams,"Dist. 2, Beau Pre",0,
Gary Johnson,President,,Libertarian,Adams,"Dist. 2, Beau Pre",3,
Jill Stein,President,,Green,Adams,"Dist. 2, Beau Pre",1,
Barbara Dale Washer,President,,Reform,Adams,"Dist. 2, Beau Pre",0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Adams,"Dist. 2, Beau Pre",310,
Roger F. Wicker,U.S. Senate,,Republican,Adams,"Dist. 2, Beau Pre",408,
Thomas Cramer,U.S. Senate,,Constitution,Adams,"Dist. 2, Beau Pre",4,
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 2, Beau Pre",2,
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 2, Beau Pre",490,
"John ""Luke"" Pannell",U.S. House,3,Reform,Adams,"Dist. 2, Beau Pre",109,
Barack Obama,President,,Democrat,Adams,"Dist. 3, Concord",640,
Mitt Romney,President,,Republican,Adams,"Dist. 3, Concord",23,
Virgil Goode,President,,Constitution,Adams,"Dist. 3, Concord",0,
Gary Johnson,President,,Libertarian,Adams,"Dist. 3, Concord",3,
Jill Stein,President,,Green,Adams,"Dist. 3, Concord",0,
Barbara Dale Washer,President,,Reform,Adams,"Dist. 3, Concord",0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Adams,"Dist. 3, Concord",548,
Roger F. Wicker,U.S. Senate,,Republican,Adams,"Dist. 3, Concord",30,
Thomas Cramer,U.S. Senate,,Constitution,Adams,"Dist. 3, Concord",6,
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 3, Concord",5,
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 3, Concord",122,
"John ""Luke"" Pannell",U.S. House,3,Reform,Adams,"Dist. 3, Concord",196,
Barack Obama,President,,Democrat,Adams,"Dist. 1, Courthouse",182,
Mitt Romney,President,,Republican,Adams,"Dist. 1, Courthouse",490,
Virgil Goode,President,,Constitution,Adams,"Dist. 1, Courthouse",0,
Gary Johnson,President,,Libertarian,Adams,"Dist. 1, Courthouse",4,
Jill Stein,President,,Green,Adams,"Dist. 1, Courthouse",2,
Barbara Dale Washer,President,,Reform,Adams,"Dist. 1, Courthouse",0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Adams,"Dist. 1, Courthouse",165,
Roger F. Wicker,U.S. Senate,,Republican,Adams,"Dist. 1, Courthouse",473,
Thomas Cramer,U.S. Senate,,Constitution,Adams,"Dist. 1, Courthouse",5,
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 1, Courthouse",5,
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 1, Courthouse",519,
"John ""Luke"" Pannell",U.S. House,3,Reform,Adams,"Dist. 1, Courthouse",77,
Barack Obama,President,,Democrat,Adams,"Dist. 4, Carpenter",354,
Mitt Romney,President,,Republican,Adams,"Dist. 4, Carpenter",128,
Virgil Goode,President,,Constitution,Adams,"Dist. 4, Carpenter",0,
Gary Johnson,President,,Libertarian,Adams,"Dist. 4, Carpenter",4,
Jill Stein,President,,Green,Adams,"Dist. 4, Carpenter",0,
Barbara Dale Washer,President,,Reform,Adams,"Dist. 4, Carpenter",0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Adams,"Dist. 4, Carpenter",324,
Roger F. Wicker,U.S. Senate,,Republican,Adams,"Dist. 4, Carpenter",129,
Thomas Cramer,U.S. Senate,,Constitution,Adams,"Dist. 4, Carpenter",5,
Shawn O'Hara,U.S. Senate,,Reform,Adams,"Dist. 4, Carpenter",2,
Gregg Harper,U.S. House,3,Republican,Adams,"Dist. 4, Carpenter",183,
"John ""Luke"" Pannell",U.S. House,3,Reform,Adams,"Dist. 4, Carpenter",136,
Barack Obama,President,,Democrat,Adams,"Dist. 2, Duncan Park",366,
Mitt Romney,President,,Republican,Adams,"Dist. 2, Duncan Park",544,
