county,office,district,candidate,party,precinct,votes
Stone,Governor,,Jim Hood,Democrat,Bond,12
Stone,Governor,,Tate Reeves,Repubilcan,Bond,57
Stone,Governor,,Bob Hickingbottom,Constitution,Bond,2
Stone,Governor,,David R. Singletary,Independent,Bond,1
Stone,Lieutenant Governor,,Delbert Hoseman,Republican,Bond,65
Stone,Lieutenant Governor,,Jay Hugues,Democrat,Bond,7
Stone,Secretary of State,,Johny DuPree,Republican,Bond,4
Stone,Secretary of State,,Michael Watson,Democrat,Bond,67
Stone,Attorney General,,Jennifer Riley Collins,Democrat,Bond,5
Stone,Attorney General,,Lynn Fitch,Republican,Bond,67
Stone,State Auditor,,Shad White,Republican,Bond,64
Stone,State Treasurer,,Addie Lee Green,Democrat,Bond,3
Stone,State Treasurer,,David McRae,Republican,Bond,67
Stone,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Bond,6
Stone,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Bond,63
Stone,Commissioner of Insurance,,Robert E. Amos,Democrat,Bond,4
Stone,Commissioner of Insurance,,Mike Chaney,Republican,Bond,67
Stone,Public Service Commissioner,Southern,Dane Maxwell,Republican,Bond,59
Stone,Public Service Commissioner,Southern,Connie Moran,Democrat,Bond,10
Stone,Transportation Commissioner,Southern,Tom King,Republican,Bond,68
Stone,District Attorney,2,Joel Smith,Republican,Bond,66
Stone,State Senate,47,Joseph M 'Mike' Seymour,Republican,Bond,66
Stone,State House,93,Tommy Ladner,Republican,Bond,
Stone,State House,107,Doug McLeod,Republican,Bond,63
Stone,Chancery Clerk,,Samuel 'Tom' Smith,Republican,Bond,67
Stone,Circuit Clerk,,Treba Parker Davis,Republican,Bond,56
Stone,Circuit Clerk,,Billy Allen,Independent,Bond,17
Stone,Coroner,,Wayne Flurry,Republican,Bond,70
Stone,County Attorney,,Thomas Melvin Matthews III,Republican,Bond,57
Stone,Sheriff,,Mike Farmer,Republican,Bond,69
Stone,Tax Assessor/Collector,,Charles E Williams Jr,Republic.an,Bond,67
Stone,Supervisor,1,Clark Byrd,Republican,Bond,72
Stone,Supervisor,2,Andy Blanchard,Democrat,Bond,
Stone,Supervisor,2,James Snowden,Republican,Bond,
Stone,Supervisor,2,Daniel E Harris,Independent,Bond,
Stone,Supervisor,3,Lance Peterson,Republican,Bond,
Stone,Supervisor,3,Chester 'Dusty' Rhodes,Independent,Bond,
Stone,Supervisor,4,Clark Bond,Republican,Bond,
Stone,Supervisor,5,Nathan Joel Bond,Republican,Bond,
Stone,Justice Court Judge East,,Justin Miles,Republican,Bond,
Stone,Justice Court Judge West,,Ricky Farmer,Republican,Bond,70
Stone,Constable East,,Everett S 'Steve' Compston Jr,Republican,Bond,
Stone,Constable West,,Mike Allen,Republican,Bond,55
Stone,Constable West,,Brandon Reid,Independent,Bond,16
